Arquivo,Tamanho (KB),Data Modificação
TG039_39009_66975_01491_039_20260127000028_91.13.BIN,34.07,27/01/2026 00:01
TG039_39050_66940_01494_039_20260127002142_91.13.BIN,25.46,27/01/2026 00:21
TG039_39516_66747_00649_039_20260127001159_91.13.BIN,36.44,27/01/2026 00:11
TG037_37508_67602_00360_037_20260127131800_91.13.BIN,38.24,27/01/2026 20:36
TG037_37508_67602_00361_037_20260127203334_91.13.BIN,21.13,27/01/2026 20:36
TG037_37509_67799_01284_037_20260127062040_91.13.BIN,10.49,27/01/2026 23:03
TG037_37509_67799_01285_037_20260127133238_91.13.BIN,26.10,27/01/2026 23:03
TG037_37509_67799_01286_037_20260127225948_91.13.BIN,34.01,27/01/2026 23:03
TG039_39009_66975_01492_039_20260127063446_91.13.BIN,10.46,28/01/2026 00:01
TG039_39009_66975_01493_039_20260127160917_91.13.BIN,31.65,28/01/2026 00:01
TG039_39021_66229_01089_039_20260127180037_91.13.BIN,10.20,27/01/2026 18:02
TG039_39026_67722_01138_039_20260127200200_91.13.BIN,46.86,27/01/2026 20:09
TG039_39031_66664_01245_039_20260127195433_91.13.BIN,71.85,27/01/2026 19:57
TG039_39034_67040_01116_039_20260127190655_91.13.BIN,71.90,27/01/2026 19:11
TG039_39038_67350_00580_039_20260127225413_91.13.BIN,40.28,27/01/2026 22:56
TG039_39041_67728_01295_039_20260127200632_91.13.BIN,58.21,27/01/2026 20:08
TG039_39046_67506_00938_039_20260127200226_91.13.BIN,21.90,27/01/2026 20:21
TG039_39050_66940_01495_039_20260127134347_91.13.BIN,45.20,27/01/2026 23:34
TG039_39050_66940_01496_039_20260127233347_91.13.BIN,19.35,27/01/2026 23:34
TG039_39066_67606_01082_039_20260127150714_91.13.BIN,42.62,28/01/2026 00:08
TG039_39070_67623_01549_039_20260127084835_91.13.BIN,29.57,27/01/2026 08:49
TG039_39070_67623_01550_039_20260127112536_91.13.BIN,6.53,27/01/2026 11:26
TG039_39070_67623_01551_039_20260127204557_91.13.BIN,44.69,27/01/2026 20:51
TG039_39075_67410_01737_039_20260127102425_91.13.BIN,31.21,27/01/2026 10:25
TG039_39075_67410_01738_039_20260127175853_91.13.BIN,18.13,27/01/2026 18:00
TG039_39129_67687_00629_039_20260127103509_91.13.BIN,17.88,27/01/2026 15:27
TG039_39129_67687_00630_039_20260127201434_91.13.BIN,24.70,27/01/2026 20:14
TG039_39140_67429_01296_039_20260127194103_91.13.BIN,65.20,27/01/2026 19:42
TG039_39141_66714_01799_039_20260127124330_91.13.BIN,33.64,27/01/2026 20:56
TG039_39141_66714_01800_039_20260127204809_91.13.BIN,37.54,27/01/2026 20:56
TG039_39142_67702_01556_039_20260127093921_91.13.BIN,20.46,27/01/2026 09:40
TG039_39142_67702_01557_039_20260127173526_91.13.BIN,20.09,27/01/2026 17:37
TG039_39501_67588_00878_039_20260127122011_91.13.BIN,35.06,27/01/2026 22:35
TG039_39501_67588_00879_039_20260127223520_91.13.BIN,27.85,27/01/2026 22:35
TG039_39502_66550_02319_039_20260127100228_91.13.BIN,21.75,27/01/2026 10:03
TG039_39502_66550_02320_039_20260127190918_91.13.BIN,25.62,27/01/2026 19:09
TG039_39505_66110_01111_039_20260127212327_91.13.BIN,59.08,27/01/2026 21:28
TG039_39508_66868_01085_039_20260127211857_91.13.BIN,39.28,27/01/2026 21:20
TG039_39509_66193_01773_039_20260127133431_91.13.BIN,26.94,27/01/2026 22:42
TG039_39509_66193_01774_039_20260127224147_91.13.BIN,22.45,27/01/2026 22:42
TG039_39510_67765_01253_039_20260127142621_91.13.BIN,11.93,27/01/2026 19:34
TG039_39510_67765_01254_039_20260127154422_91.13.BIN,4.53,27/01/2026 19:34
TG039_39510_67765_01255_039_20260127193123_91.13.BIN,22.59,27/01/2026 19:34
TG039_39512_66924_01199_039_20260127131201_91.13.BIN,21.09,27/01/2026 22:31
TG039_39512_66924_01200_039_20260127223007_91.13.BIN,22.62,27/01/2026 22:31
TG039_39516_66747_00651_039_20260127202128_91.13.BIN,25.10,27/01/2026 20:24
TG039_39518_67819_01470_039_20260127195733_91.13.BIN,37.60,27/01/2026 20:02
TG039_39531_67442_01345_039_20260127141206_91.13.BIN,34.00,27/01/2026 22:26
TG039_39531_67442_01346_039_20260127222542_91.13.BIN,22.09,27/01/2026 22:26
TG039_39532_67577_01338_039_20260127092624_91.13.BIN,15.76,27/01/2026 09:27
TG039_39532_67577_01339_039_20260127181515_91.13.BIN,9.36,27/01/2026 18:14
TG039_39534_66943_01439_039_20260127044525_91.13.BIN,15.22,27/01/2026 19:26
TG039_39534_66943_01440_039_20260127192531_91.13.BIN,70.08,27/01/2026 19:26
TG039_39536_66234_01315_039_20260127101949_91.13.BIN,20.85,27/01/2026 10:20
TG039_39536_66234_01316_039_20260127183815_91.13.BIN,26.29,27/01/2026 18:38
TG039_39538_67120_01086_039_20260127204529_91.13.BIN,44.62,27/01/2026 20:47
TG039_39539_67466_01120_039_20260127114710_91.13.BIN,37.60,27/01/2026 22:23
TG039_39539_67466_01121_039_20260127222304_91.13.BIN,40.69,27/01/2026 22:23
TG039_39541_67956_01427_039_20260127115919_91.13.BIN,26.54,27/01/2026 21:49
TG039_39541_67956_01428_039_20260127214853_91.13.BIN,42.89,27/01/2026 21:49
TG039_39541_67956_01429_039_20260127231137_91.13.BIN,2.66,27/01/2026 23:11
TG039_39545_67269_00892_039_20260127122532_91.13.BIN,22.67,28/01/2026 00:18
