Arquivo,Tamanho (KB),Data Modificação
TG037_37505_66245_01214_037_20260403001737_91.13.BIN,33.61,03/04/2026 00:19
TG039_39066_67606_01199_039_20260403001328_91.13.BIN,48.57,03/04/2026 00:13
TG037_37505_66245_01215_037_20260403131503_91.13.BIN,30.70,03/04/2026 22:15
TG037_37505_66245_01216_037_20260403221317_91.13.BIN,23.20,03/04/2026 22:15
TG039_39026_67722_01218_039_20260403150127_91.13.BIN,15.52,03/04/2026 15:01
TG039_39066_67606_01200_039_20260403143137_91.13.BIN,49.19,03/04/2026 14:31
TG039_39070_66648_00965_039_20260403125054_91.13.BIN,40.95,03/04/2026 12:53
TG039_39070_66648_00966_039_20260403234103_91.13.BIN,39.31,03/04/2026 23:40
TG039_39074_66815_01857_039_20260403121628_91.13.BIN,25.45,03/04/2026 22:06
TG039_39074_66815_01858_039_20260403220540_91.13.BIN,31.29,03/04/2026 22:06
TG039_39075_67410_01824_039_20260403135653_91.13.BIN,35.77,03/04/2026 13:58
TG039_39075_67410_01825_039_20260403231231_91.13.BIN,51.43,03/04/2026 23:12
TG039_39105_67701_01130_039_20260403132915_91.13.BIN,41.79,03/04/2026 13:28
TG039_39105_67701_01131_039_20260403213710_91.13.BIN,20.12,03/04/2026 21:39
TG039_39135_66580_01549_039_20260403143815_91.13.BIN,6.16,03/04/2026 14:37
TG039_39140_67429_01366_039_20260403140136_91.13.BIN,39.44,03/04/2026 14:02
TG039_39140_67429_01367_039_20260403230112_91.13.BIN,20.48,03/04/2026 23:05
TG039_39142_67702_01663_039_20260403141918_91.13.BIN,31.36,03/04/2026 14:19
TG039_39142_67702_01664_039_20260403211310_91.13.BIN,19.68,03/04/2026 21:18
TG039_39509_66193_01891_039_20260403111356_91.13.BIN,29.88,03/04/2026 19:46
TG039_39509_66193_01892_039_20260403194617_91.13.BIN,21.51,03/04/2026 19:46
TG039_39512_66837_00839_039_20260403133521_91.13.BIN,31.74,03/04/2026 22:12
TG039_39512_66837_00840_039_20260403221107_91.13.BIN,12.86,03/04/2026 22:12
TG039_39516_66747_00763_039_20260403133121_91.13.BIN,42.68,03/04/2026 21:44
TG039_39516_66747_00764_039_20260403214447_91.13.BIN,24.28,03/04/2026 21:44
TG039_39535_66204_01589_039_20260403225257_91.13.BIN,21.62,03/04/2026 22:52
TG039_39541_67956_01514_039_20260403142859_91.13.BIN,31.10,03/04/2026 14:29
