Arquivo,Tamanho (KB),Data Modificação
TG039_39010_67846_01415_039_20260110001905_91.13.BIN,36.83,10/01/2026 00:16
TG039_39516_66747_00615_039_20260110001748_91.13.BIN,40.18,10/01/2026 00:16
TG037_37504_67275_00918_037_20260110131841_91.13.BIN,30.36,10/01/2026 23:30
TG037_37504_67275_00919_037_20260110233013_91.13.BIN,31.21,10/01/2026 23:30
TG037_37512_67116_01008_037_20260110154623_91.13.BIN,52.46,10/01/2026 15:46
TG039_39009_66975_01455_039_20260110130133_91.13.BIN,9.61,10/01/2026 13:02
TG039_39026_67722_01117_039_20260110145015_91.13.BIN,31.46,10/01/2026 14:50
TG039_39036_67000_00989_039_20260110161923_91.13.BIN,46.94,10/01/2026 16:20
TG039_39038_67350_00552_039_20260110160222_91.13.BIN,55.05,10/01/2026 16:02
TG039_39066_67606_01053_039_20260110153011_91.13.BIN,50.98,11/01/2026 00:37
TG039_39070_67623_01514_039_20260110144852_91.13.BIN,46.24,10/01/2026 23:28
TG039_39070_67623_01515_039_20260110232715_91.13.BIN,52.21,10/01/2026 23:28
TG039_39074_66815_01679_039_20260110150007_91.13.BIN,42.27,10/01/2026 15:00
TG039_39075_67410_01704_039_20260110124953_91.13.BIN,35.59,10/01/2026 23:06
TG039_39075_67410_01705_039_20260110230546_91.13.BIN,35.67,10/01/2026 23:06
TG039_39096_67518_01305_039_20260110121932_91.13.BIN,35.38,10/01/2026 19:38
TG039_39096_67518_01306_039_20260110193747_91.13.BIN,23.12,10/01/2026 19:38
TG039_39105_67701_01008_039_20260110143315_91.13.BIN,48.37,10/01/2026 14:34
TG039_39121_66993_00729_039_20260110120822_91.13.BIN,19.80,10/01/2026 20:16
TG039_39121_66993_00730_039_20260110201647_91.13.BIN,16.01,10/01/2026 20:16
TG039_39129_67687_00606_039_20260110065711_91.13.BIN,3.37,10/01/2026 06:56
TG039_39135_66580_01445_039_20260110140425_91.13.BIN,35.70,10/01/2026 14:05
TG039_39139_67543_01205_039_20260110070045_91.13.BIN,3.47,10/01/2026 07:00
TG039_39141_66714_01764_039_20260110150950_91.13.BIN,49.60,10/01/2026 22:26
TG039_39141_66714_01765_039_20260110221805_91.13.BIN,40.78,10/01/2026 22:26
TG039_39142_67702_01524_039_20260110144311_91.13.BIN,36.49,10/01/2026 22:18
TG039_39142_67702_01525_039_20260110221807_91.13.BIN,29.34,10/01/2026 22:18
TG039_39502_66550_02285_039_20260110095526_91.13.BIN,3.38,10/01/2026 09:56
TG039_39509_66193_01744_039_20260110135417_91.13.BIN,25.04,10/01/2026 23:14
TG039_39509_66193_01745_039_20260110203556_91.13.BIN,28.16,10/01/2026 23:14
TG039_39509_66193_01746_039_20260110231431_91.13.BIN,20.73,10/01/2026 23:14
TG039_39531_67442_01322_039_20260110095124_91.13.BIN,27.09,10/01/2026 09:50
TG039_39534_66943_01420_039_20260110152320_91.13.BIN,20.06,10/01/2026 15:23
TG039_39541_67956_01413_039_20260110142156_91.13.BIN,38.52,10/01/2026 21:22
TG039_39541_67956_01414_039_20260110212229_91.13.BIN,21.18,10/01/2026 21:22
