Arquivo,Tamanho (KB),Data Modificação
TG039_39516_66747_00526_039_20251125000514_91.13.BIN,40.81,25/11/2025 00:04
TG039_39017_66369_01158_039_20251125215751_91.13.BIN,44.17,25/11/2025 22:01
TG039_39018_67724_01389_039_20251125131255_91.13.BIN,35.59,25/11/2025 20:42
TG039_39018_67724_01390_039_20251125204148_91.13.BIN,22.32,25/11/2025 20:42
TG039_39026_67722_01050_039_20251125202731_91.13.BIN,42.20,25/11/2025 20:28
TG039_39031_66664_01174_039_20251125232139_91.13.BIN,24.13,25/11/2025 23:26
TG039_39036_67000_00947_039_20251125080521_91.13.BIN,22.23,25/11/2025 08:07
TG039_39036_67000_00948_039_20251125111737_91.13.BIN,13.32,25/11/2025 20:17
TG039_39036_67000_00949_039_20251125201605_91.13.BIN,49.27,25/11/2025 20:17
TG039_39050_66940_01384_039_20251125150041_91.13.BIN,42.96,25/11/2025 23:27
TG039_39050_66940_01385_039_20251125232745_91.13.BIN,31.75,25/11/2025 23:27
TG039_39066_67606_00973_039_20251125150850_91.13.BIN,64.47,26/11/2025 00:35
TG039_39070_67623_01431_039_20251125111348_91.13.BIN,39.41,25/11/2025 21:00
TG039_39070_67623_01432_039_20251125205814_91.13.BIN,48.15,25/11/2025 21:00
TG039_39074_66815_01579_039_20251125061926_91.13.BIN,10.93,25/11/2025 23:09
TG039_39074_66815_01580_039_20251125155437_91.13.BIN,41.22,25/11/2025 23:09
TG039_39074_66815_01581_039_20251125230634_91.13.BIN,18.86,25/11/2025 23:09
TG039_39075_67410_01628_039_20251125195256_91.13.BIN,96.77,25/11/2025 19:55
TG039_39085_67775_00885_039_20251125132323_91.13.BIN,40.43,25/11/2025 20:40
TG039_39085_67775_00886_039_20251125203832_91.13.BIN,38.98,25/11/2025 20:40
TG039_39096_67518_01251_039_20251125192516_91.13.BIN,79.03,25/11/2025 19:26
TG039_39105_67701_00959_039_20251125130836_91.13.BIN,33.69,25/11/2025 21:10
TG039_39105_67701_00960_039_20251125210834_91.13.BIN,39.46,25/11/2025 21:10
TG039_39119_67716_01067_039_20251125195828_91.13.BIN,58.23,25/11/2025 20:01
TG039_39126_68299_00711_039_20251125145740_91.13.BIN,6.46,25/11/2025 23:17
TG039_39126_68299_00712_039_20251125231825_91.13.BIN,24.53,25/11/2025 23:17
TG039_39129_67687_00599_039_20251125204558_91.13.BIN,35.50,25/11/2025 21:08
TG039_39135_66580_01369_039_20251125123744_91.13.BIN,20.65,25/11/2025 12:38
TG039_39135_66580_01370_039_20251125194310_91.13.BIN,19.93,25/11/2025 19:43
TG039_39141_66714_01683_039_20251125094615_91.13.BIN,24.00,25/11/2025 09:47
TG039_39141_66714_01684_039_20251125183150_91.13.BIN,17.24,25/11/2025 18:31
TG039_39142_67702_01445_039_20251125130251_91.13.BIN,6.64,25/11/2025 13:03
TG039_39142_67702_01446_039_20251125182826_91.13.BIN,12.76,25/11/2025 18:28
TG039_39502_66550_02206_039_20251125155447_91.13.BIN,55.98,25/11/2025 23:13
TG039_39502_66550_02207_039_20251125230722_91.13.BIN,40.23,25/11/2025 23:13
TG039_39508_66868_01018_039_20251125200958_91.13.BIN,67.55,25/11/2025 20:11
TG039_39509_66193_01665_039_20251125224427_91.13.BIN,43.71,25/11/2025 22:44
TG039_39510_67069_00350_039_20251125204303_91.13.BIN,45.46,25/11/2025 20:54
TG039_39512_66924_01104_039_20251125215845_91.13.BIN,29.12,25/11/2025 21:58
TG039_39516_66747_00527_039_20251125192909_91.13.BIN,71.16,25/11/2025 19:31
TG039_39532_67577_01254_039_20251125195010_91.13.BIN,17.88,25/11/2025 19:50
TG039_39534_66943_01363_039_20251125193033_91.13.BIN,79.38,25/11/2025 19:32
TG039_39535_66204_01400_039_20251125095755_91.13.BIN,31.05,25/11/2025 09:58
TG039_39535_66204_01401_039_20251125185015_91.13.BIN,19.35,25/11/2025 18:50
TG039_39536_66234_01203_039_20251125145501_91.13.BIN,55.68,25/11/2025 22:03
TG039_39536_66234_01204_039_20251125220112_91.13.BIN,32.60,25/11/2025 22:03
TG039_39539_67466_01038_039_20251125093904_91.13.BIN,24.45,25/11/2025 09:40
TG039_39539_67466_01039_039_20251125185436_91.13.BIN,24.80,25/11/2025 18:54
TG039_39540_68261_00805_039_20251125102413_91.13.BIN,16.54,25/11/2025 10:26
TG039_39540_68261_00806_039_20251125190417_91.13.BIN,17.65,25/11/2025 19:04
TG039_39541_67956_01351_039_20251125141537_91.13.BIN,33.84,25/11/2025 14:17
TG039_39541_67956_01352_039_20251125230454_91.13.BIN,23.81,25/11/2025 23:04
TG039_39542_66581_01307_039_20251125194608_91.13.BIN,57.99,25/11/2025 19:47
TG039_39545_67269_00809_039_20251125004043_91.13.BIN,29.07,25/11/2025 03:49
TG039_39545_67269_00810_039_20251125131017_91.13.BIN,30.19,25/11/2025 22:32
TG039_39545_67269_00811_039_20251125223212_91.13.BIN,29.00,25/11/2025 22:32
