Arquivo,Tamanho (KB),Data Modificação
TG039_39046_67234_01444_039_20260228000254_91.13.BIN,30.89,28/02/2026 00:00
TG039_39066_67606_01132_039_20260228003339_91.13.BIN,41.59,28/02/2026 00:32
TG037_37512_67116_01073_037_20260228155117_91.13.BIN,40.41,28/02/2026 22:49
TG037_37512_67116_01074_037_20260228224819_91.13.BIN,39.79,28/02/2026 22:49
TG039_37523_67198_01380_039_20260228122121_91.13.BIN,18.69,28/02/2026 19:58
TG039_37523_67198_01381_039_20260228195651_91.13.BIN,15.23,28/02/2026 19:58
TG039_39009_66975_01547_039_20260228155225_91.13.BIN,35.33,28/02/2026 22:49
TG039_39009_66975_01548_039_20260228224826_91.13.BIN,22.50,28/02/2026 22:49
TG039_39010_67846_01479_039_20260228142025_91.13.BIN,39.27,28/02/2026 23:55
TG039_39010_67846_01480_039_20260228235352_91.13.BIN,33.29,28/02/2026 23:55
TG039_39010_67846_01481_039_20260228235505_91.13.BIN,1.78,28/02/2026 23:55
TG039_39026_67722_01172_039_20260228145407_91.13.BIN,33.92,28/02/2026 14:54
TG039_39031_66664_01277_039_20260228160323_91.13.BIN,51.37,28/02/2026 16:05
TG039_39066_67606_01133_039_20260228151436_91.13.BIN,46.96,01/03/2026 00:48
TG039_39070_67623_01597_039_20260228044327_91.13.BIN,2.98,28/02/2026 04:44
TG039_39075_67410_01778_039_20260228162712_91.13.BIN,47.82,28/02/2026 16:30
TG039_39105_67701_01074_039_20260228130506_91.13.BIN,33.01,28/02/2026 13:04
TG039_39119_67716_01160_039_20260228132929_91.13.BIN,30.95,28/02/2026 13:29
TG039_39128_67311_00471_039_20260228142417_91.13.BIN,58.14,28/02/2026 23:46
TG039_39128_67311_00472_039_20260228234426_91.13.BIN,42.46,28/02/2026 23:46
TG039_39130_67894_01481_039_20260228141502_91.13.BIN,33.61,28/02/2026 14:14
TG039_39140_67429_01323_039_20260228054020_91.13.BIN,3.36,28/02/2026 05:40
TG039_39142_67702_01606_039_20260228152753_91.13.BIN,41.30,28/02/2026 15:28
TG039_39502_66550_02361_039_20260228142257_91.13.BIN,35.07,28/02/2026 14:24
TG039_39509_66193_01826_039_20260228115717_91.13.BIN,27.05,28/02/2026 19:32
TG039_39509_66193_01827_039_20260228192858_91.13.BIN,24.16,28/02/2026 19:32
TG039_39509_66193_01828_039_20260228194004_91.13.BIN,2.48,28/02/2026 19:39
TG039_39534_66943_01470_039_20260228151251_91.13.BIN,45.13,28/02/2026 21:52
TG039_39534_66943_01471_039_20260228215119_91.13.BIN,20.65,28/02/2026 21:52
TG039_39535_66204_01533_039_20260228162028_91.13.BIN,33.91,28/02/2026 16:22
TG039_39539_67466_01156_039_20260228140143_91.13.BIN,32.02,28/02/2026 23:27
TG039_39539_67466_01157_039_20260228232554_91.13.BIN,50.22,28/02/2026 23:27
