Arquivo,Tamanho (KB),Data Modificação
TG039_39066_67606_01085_039_20260129003410_91.13.BIN,44.82,29/01/2026 00:39
TG037_37509_67799_01290_037_20260129062030_91.13.BIN,10.36,29/01/2026 22:54
TG037_37509_67799_01291_037_20260129134201_91.13.BIN,29.53,29/01/2026 22:54
TG037_37509_67799_01292_037_20260129225316_91.13.BIN,30.13,29/01/2026 22:54
TG037_37524_67001_01217_037_20260129205411_91.13.BIN,43.10,29/01/2026 20:55
TG039_39009_66975_01498_039_20260129063608_91.13.BIN,12.16,30/01/2026 00:00
TG039_39009_66975_01499_039_20260129161721_91.13.BIN,29.62,30/01/2026 00:00
TG039_39010_67846_01443_039_20260129140729_91.13.BIN,37.92,29/01/2026 21:21
TG039_39010_67846_01444_039_20260129212138_91.13.BIN,22.12,29/01/2026 21:21
TG039_39026_67722_01140_039_20260129201328_91.13.BIN,47.01,29/01/2026 20:14
TG039_39034_67040_01118_039_20260129191114_91.13.BIN,90.01,29/01/2026 19:10
TG039_39036_67000_01016_039_20260129131647_91.13.BIN,30.98,29/01/2026 20:42
TG039_39036_67000_01017_039_20260129131832_91.13.BIN,1.86,29/01/2026 20:42
TG039_39036_67000_01018_039_20260129203949_91.13.BIN,29.44,29/01/2026 20:42
TG039_39038_67350_00583_039_20260129101630_91.13.BIN,24.37,29/01/2026 10:16
TG039_39038_67350_00584_039_20260129185001_91.13.BIN,21.56,29/01/2026 18:50
TG039_39046_67506_00942_039_20260129213042_91.13.BIN,24.85,29/01/2026 21:34
TG039_39050_66940_01498_039_20260129133829_91.13.BIN,31.90,30/01/2026 00:33
TG039_39060_67234_01418_039_20260129201432_91.13.BIN,30.40,29/01/2026 20:18
TG039_39066_67606_01086_039_20260129151033_91.13.BIN,51.08,30/01/2026 00:21
TG039_39070_67623_01554_039_20260129110810_91.13.BIN,34.91,29/01/2026 20:50
TG039_39070_67623_01555_039_20260129205149_91.13.BIN,51.41,29/01/2026 20:50
TG039_39074_66815_01711_039_20260129233644_91.13.BIN,6.14,29/01/2026 23:36
TG039_39086_66932_01114_039_20260129200209_91.13.BIN,14.31,29/01/2026 20:02
TG039_39105_67701_01036_039_20260129230137_91.13.BIN,22.68,29/01/2026 23:01
TG039_39119_67716_01138_039_20260129185714_91.13.BIN,22.83,29/01/2026 18:58
TG039_39129_67687_00633_039_20260129201123_91.13.BIN,69.36,29/01/2026 20:10
TG039_39129_67687_00634_039_20260129230614_91.13.BIN,11.70,29/01/2026 23:13
TG039_39140_67429_01298_039_20260129101834_91.13.BIN,25.30,29/01/2026 10:18
TG039_39141_66714_01805_039_20260129124949_91.13.BIN,35.31,29/01/2026 21:07
TG039_39141_66714_01806_039_20260129205904_91.13.BIN,42.23,29/01/2026 21:07
TG039_39142_67702_01560_039_20260129093931_91.13.BIN,19.60,29/01/2026 09:40
TG039_39142_67702_01561_039_20260129180312_91.13.BIN,21.52,29/01/2026 18:03
TG039_39501_67588_00882_039_20260129093133_91.13.BIN,21.98,29/01/2026 09:30
TG039_39501_67588_00883_039_20260129182518_91.13.BIN,19.74,29/01/2026 18:25
TG039_39502_66550_02323_039_20260129100432_91.13.BIN,21.95,29/01/2026 10:04
TG039_39502_66550_02324_039_20260129193555_91.13.BIN,4.91,29/01/2026 19:37
TG039_39508_66868_01089_039_20260129193439_91.13.BIN,36.22,29/01/2026 19:40
TG039_39509_66193_01777_039_20260129200308_91.13.BIN,62.60,29/01/2026 20:05
TG039_39510_67765_01258_039_20260129203857_91.13.BIN,46.29,29/01/2026 20:38
TG039_39516_66747_00654_039_20260129131345_91.13.BIN,32.31,29/01/2026 20:36
TG039_39516_66747_00655_039_20260129203431_91.13.BIN,31.21,29/01/2026 20:36
TG039_39531_67442_01349_039_20260129102614_91.13.BIN,24.44,29/01/2026 10:27
TG039_39531_67442_01350_039_20260129193212_91.13.BIN,20.29,29/01/2026 19:33
TG039_39534_66943_01444_039_20260129142308_91.13.BIN,30.75,29/01/2026 14:23
TG039_39534_66943_01445_039_20260129220050_91.13.BIN,19.71,29/01/2026 22:01
TG039_39535_66204_01489_039_20260129123855_91.13.BIN,54.51,29/01/2026 20:33
TG039_39535_66204_01490_039_20260129201802_91.13.BIN,42.00,29/01/2026 20:33
TG039_39539_67466_01124_039_20260129114931_91.13.BIN,49.46,29/01/2026 22:44
TG039_39539_67466_01125_039_20260129224408_91.13.BIN,43.13,29/01/2026 22:44
TG039_39541_67956_01432_039_20260129112422_91.13.BIN,33.71,29/01/2026 22:00
TG039_39541_67956_01433_039_20260129220116_91.13.BIN,42.34,29/01/2026 22:00
