Arquivo,Tamanho (KB),Data Modificação
TG039_39119_67716_01111_039_20260105001857_91.13.BIN,41.23,05/01/2026 00:24
TG037_37508_67602_00342_037_20260105234838_91.13.BIN,26.79,05/01/2026 23:49
TG037_37512_67116_00998_037_20260105140607_91.13.BIN,46.72,05/01/2026 21:23
TG037_37512_67116_00999_037_20260105211608_91.13.BIN,29.85,05/01/2026 21:23
TG039_39017_66369_01186_039_20260105195607_91.13.BIN,15.51,05/01/2026 19:56
TG039_39026_67722_01111_039_20260105200619_91.13.BIN,48.52,05/01/2026 20:06
TG039_39031_66664_01217_039_20260105140621_91.13.BIN,26.43,05/01/2026 21:41
TG039_39031_66664_01218_039_20260105214123_91.13.BIN,41.86,05/01/2026 21:41
TG039_39034_67040_01085_039_20260105142125_91.13.BIN,13.56,05/01/2026 23:20
TG039_39034_67040_01086_039_20260105230539_91.13.BIN,20.71,05/01/2026 23:20
TG039_39036_67000_00983_039_20260105202958_91.13.BIN,30.03,05/01/2026 20:29
TG039_39038_67350_00544_039_20260105140205_91.13.BIN,53.17,05/01/2026 14:03
TG039_39038_67350_00545_039_20260105183127_91.13.BIN,25.21,05/01/2026 18:31
TG039_39046_67506_00909_039_20260105053409_91.13.BIN,3.25,05/01/2026 05:34
TG039_39046_67506_00910_039_20260105074843_91.13.BIN,13.48,05/01/2026 19:56
TG039_39046_67506_00911_039_20260105144357_91.13.BIN,23.10,05/01/2026 19:56
TG039_39046_67506_00912_039_20260105195638_91.13.BIN,23.86,05/01/2026 19:56
TG039_39050_66940_01457_039_20260105141323_91.13.BIN,29.36,06/01/2026 00:21
TG039_39064_66960_01009_039_20260105050231_91.13.BIN,7.65,05/01/2026 20:23
TG039_39064_66960_01010_039_20260105202254_91.13.BIN,34.62,05/01/2026 20:23
TG039_39070_67623_01505_039_20260105200133_91.13.BIN,10.30,05/01/2026 20:02
TG039_39074_66815_01669_039_20260105062145_91.13.BIN,10.24,05/01/2026 23:00
TG039_39074_66815_01670_039_20260105153806_91.13.BIN,34.31,05/01/2026 23:00
TG039_39074_66815_01671_039_20260105225906_91.13.BIN,32.90,05/01/2026 23:00
TG039_39085_67775_00937_039_20260105133405_91.13.BIN,38.93,05/01/2026 21:23
TG039_39085_67775_00938_039_20260105211731_91.13.BIN,23.61,05/01/2026 21:23
TG039_39098_67417_01045_039_20260105051020_91.13.BIN,4.00,05/01/2026 05:09
TG039_39105_67701_00999_039_20260105130222_91.13.BIN,42.27,05/01/2026 20:06
TG039_39105_67701_01000_039_20260105200728_91.13.BIN,35.15,05/01/2026 20:06
TG039_39130_67894_01406_039_20260105045138_91.13.BIN,13.52,05/01/2026 04:52
TG039_39130_67894_01407_039_20260105193430_91.13.BIN,58.10,05/01/2026 19:36
TG039_39135_66580_01435_039_20260105122003_91.13.BIN,22.22,05/01/2026 12:19
TG039_39135_66580_01436_039_20260105185342_91.13.BIN,24.53,05/01/2026 19:06
TG039_39140_67429_01273_039_20260105140709_91.13.BIN,37.59,05/01/2026 22:12
TG039_39140_67429_01274_039_20260105221324_91.13.BIN,32.95,05/01/2026 22:12
TG039_39141_66714_01752_039_20260105053727_91.13.BIN,4.51,05/01/2026 05:36
TG039_39141_66714_01753_039_20260105053805_91.13.BIN,2.25,05/01/2026 09:30
TG039_39141_66714_01754_039_20260105092942_91.13.BIN,13.73,05/01/2026 09:30
TG039_39141_66714_01755_039_20260105182931_91.13.BIN,28.28,05/01/2026 18:30
TG039_39142_67702_01513_039_20260105125806_91.13.BIN,25.11,05/01/2026 20:42
TG039_39142_67702_01514_039_20260105204229_91.13.BIN,30.34,05/01/2026 20:42
TG039_39502_66550_02275_039_20260105160900_91.13.BIN,57.08,05/01/2026 23:10
TG039_39502_66550_02276_039_20260105225822_91.13.BIN,29.62,05/01/2026 23:10
TG039_39508_66868_01058_039_20260105181111_91.13.BIN,85.16,05/01/2026 18:11
TG039_39509_66193_01734_039_20260105133110_91.13.BIN,30.20,05/01/2026 22:26
TG039_39509_66193_01735_039_20260105222719_91.13.BIN,22.68,05/01/2026 22:26
TG039_39516_66747_00603_039_20260105145540_91.13.BIN,47.39,06/01/2026 00:10
TG039_39518_67819_01431_039_20260105051248_91.13.BIN,8.04,05/01/2026 05:12
TG039_39531_67442_01312_039_20260105102130_91.13.BIN,33.94,05/01/2026 10:21
TG039_39531_67442_01313_039_20260105184917_91.13.BIN,13.04,05/01/2026 18:49
TG039_39532_67577_01306_039_20260105150837_91.13.BIN,35.69,05/01/2026 22:10
TG039_39532_67577_01307_039_20260105221151_91.13.BIN,21.16,05/01/2026 22:10
TG039_39534_66943_01411_039_20260105185220_91.13.BIN,74.83,05/01/2026 18:51
TG039_39535_66204_01460_039_20260105100935_91.13.BIN,37.44,05/01/2026 10:10
TG039_39535_66204_01461_039_20260105184400_91.13.BIN,24.70,05/01/2026 18:44
TG039_39536_66234_01273_039_20260105150150_91.13.BIN,49.20,05/01/2026 21:42
TG039_39536_66234_01274_039_20260105214114_91.13.BIN,25.44,05/01/2026 21:42
TG039_39540_68261_00847_039_20260105153104_91.13.BIN,10.08,05/01/2026 15:30
TG039_39541_67956_01404_039_20260105160948_91.13.BIN,39.72,05/01/2026 22:32
TG039_39541_67956_01405_039_20260105223243_91.13.BIN,18.46,05/01/2026 22:32
TG039_39096_67518_01298_039_20260105183911_91.13.BIN,65.54,06/01/2026 11:47
