Arquivo,Tamanho (KB),Data Modificação
TG039_39070_67623_01442_039_20251201001906_91.13.BIN,72.49,01/12/2025 00:18
TG037_37512_67116_00944_037_20251201131556_91.13.BIN,48.59,01/12/2025 20:32
TG037_37512_67116_00945_037_20251201203243_91.13.BIN,24.11,01/12/2025 20:32
TG039_39009_66975_01452_039_20251201063354_91.13.BIN,11.04,01/12/2025 23:29
TG039_39009_66975_01453_039_20251201135126_91.13.BIN,29.62,01/12/2025 23:29
TG039_39009_66975_01454_039_20251201232833_91.13.BIN,41.63,01/12/2025 23:30
TG039_39010_67846_01352_039_20251201084528_91.13.BIN,14.60,01/12/2025 20:56
TG039_39010_67846_01353_039_20251201205051_91.13.BIN,27.05,01/12/2025 20:56
TG039_39018_67724_01395_039_20251201075110_91.13.BIN,3.51,01/12/2025 09:07
TG039_39018_67724_01396_039_20251201090614_91.13.BIN,8.02,01/12/2025 09:07
TG039_39018_67724_01397_039_20251201114554_91.13.BIN,2.77,01/12/2025 11:46
TG039_39018_67724_01398_039_20251201194604_91.13.BIN,40.67,01/12/2025 19:47
TG039_39026_67722_01057_039_20251201201553_91.13.BIN,47.56,01/12/2025 20:16
TG039_39036_67000_00956_039_20251201100913_91.13.BIN,27.74,01/12/2025 10:07
TG039_39036_67000_00957_039_20251201182226_91.13.BIN,16.09,01/12/2025 18:24
TG039_39046_67506_00876_039_20251201181937_91.13.BIN,13.12,01/12/2025 18:20
TG039_39050_66940_01395_039_20251201135300_91.13.BIN,34.68,02/12/2025 00:44
TG039_39066_67606_00983_039_20251201151415_91.13.BIN,55.43,02/12/2025 00:25
TG039_39070_67623_01443_039_20251201191334_91.13.BIN,82.05,01/12/2025 19:14
TG039_39074_66815_01594_039_20251201125418_91.13.BIN,45.28,01/12/2025 20:43
TG039_39074_66815_01595_039_20251201202731_91.13.BIN,36.90,01/12/2025 20:43
TG039_39075_67410_01637_039_20251201094807_91.13.BIN,25.21,01/12/2025 19:54
TG039_39075_67410_01638_039_20251201121415_91.13.BIN,8.95,01/12/2025 19:54
TG039_39075_67410_01639_039_20251201195413_91.13.BIN,45.05,01/12/2025 19:54
TG039_39082_66152_01002_039_20251201214929_91.13.BIN,28.85,01/12/2025 21:50
TG039_39096_67518_01258_039_20251201111653_91.13.BIN,24.71,01/12/2025 11:16
TG039_39096_67518_01259_039_20251201192343_91.13.BIN,22.99,01/12/2025 19:24
TG039_39105_67701_00964_039_20251201072217_91.13.BIN,18.70,01/12/2025 07:21
TG039_39105_67701_00965_039_20251201215703_91.13.BIN,27.96,01/12/2025 21:59
TG039_39119_67716_01073_039_20251201195942_91.13.BIN,75.30,01/12/2025 20:00
TG039_39126_68299_00717_039_20251201195232_91.13.BIN,57.58,01/12/2025 19:52
TG039_39128_67311_00403_039_20251201062807_91.13.BIN,18.31,01/12/2025 23:16
TG039_39128_67311_00404_039_20251201160407_91.13.BIN,70.62,01/12/2025 23:16
TG039_39128_67311_00405_039_20251201231649_91.13.BIN,34.76,01/12/2025 23:16
TG039_39135_66580_01380_039_20251201205520_91.13.BIN,33.28,01/12/2025 21:23
TG039_39140_67429_01224_039_20251201200524_91.13.BIN,68.92,01/12/2025 20:05
TG039_39141_66714_01694_039_20251201125631_91.13.BIN,47.96,01/12/2025 20:52
TG039_39141_66714_01695_039_20251201204729_91.13.BIN,37.79,01/12/2025 20:52
TG039_39142_67702_01454_039_20251201094917_91.13.BIN,28.50,01/12/2025 09:50
TG039_39142_67702_01455_039_20251201182634_91.13.BIN,12.20,01/12/2025 18:26
TG039_39501_67588_00816_039_20251201063546_91.13.BIN,7.09,01/12/2025 06:37
TG039_39502_66550_02217_039_20251201095219_91.13.BIN,27.83,01/12/2025 09:51
TG039_39502_66550_02218_039_20251201190006_91.13.BIN,18.87,01/12/2025 19:01
TG039_39509_66193_01677_039_20251201150230_91.13.BIN,35.99,01/12/2025 22:58
TG039_39509_66193_01678_039_20251201225831_91.13.BIN,20.90,01/12/2025 22:58
TG039_39510_67069_00359_039_20251201100134_91.13.BIN,23.87,01/12/2025 10:01
TG039_39510_67069_00360_039_20251201200522_91.13.BIN,23.14,01/12/2025 20:10
TG039_39512_66924_01113_039_20251201131244_91.13.BIN,31.80,01/12/2025 22:28
TG039_39512_66924_01114_039_20251201222908_91.13.BIN,26.33,01/12/2025 22:28
TG039_39516_66747_00535_039_20251201055137_91.13.BIN,3.19,01/12/2025 20:44
TG039_39516_66747_00536_039_20251201130045_91.13.BIN,26.89,01/12/2025 20:44
TG039_39516_66747_00537_039_20251201204348_91.13.BIN,35.29,01/12/2025 20:44
TG039_39534_66943_01370_039_20251201193010_91.13.BIN,81.92,01/12/2025 19:30
TG039_39535_66204_01409_039_20251201124321_91.13.BIN,99.42,01/12/2025 23:11
TG039_39535_66204_01410_039_20251201231004_91.13.BIN,62.79,01/12/2025 23:11
TG039_39536_66234_01215_039_20251201100913_91.13.BIN,23.99,01/12/2025 10:07
TG039_39536_66234_01216_039_20251201185415_91.13.BIN,20.83,01/12/2025 18:56
TG039_39539_67466_01043_039_20251201150657_91.13.BIN,71.94,01/12/2025 22:27
TG039_39539_67466_01044_039_20251201222736_91.13.BIN,38.34,01/12/2025 22:27
TG039_39540_68261_00813_039_20251201153717_91.13.BIN,47.95,01/12/2025 22:37
TG039_39540_68261_00814_039_20251201223641_91.13.BIN,29.76,01/12/2025 22:37
TG039_39541_67956_01357_039_20251201145502_91.13.BIN,38.41,01/12/2025 22:05
TG039_39541_67956_01358_039_20251201220711_91.13.BIN,30.47,01/12/2025 22:05
