Arquivo,Tamanho (KB),Data Modificação
TG039_39066_67606_01016_039_20251218003904_91.13.BIN,44.47,18/12/2025 00:39
TG039_39126_68299_00748_039_20251218002324_91.13.BIN,12.43,18/12/2025 00:23
TG039_37523_67198_01284_039_20251218200042_91.13.BIN,77.31,18/12/2025 20:01
TG039_39026_67722_01078_039_20251218135315_91.13.BIN,15.12,18/12/2025 20:06
TG039_39026_67722_01079_039_20251218200630_91.13.BIN,16.75,18/12/2025 20:06
TG039_39030_66637_00514_039_20251218064049_91.13.BIN,11.93,18/12/2025 23:48
TG039_39030_66637_00515_039_20251218135708_91.13.BIN,37.77,18/12/2025 23:48
TG039_39030_66637_00516_039_20251218234810_91.13.BIN,32.91,18/12/2025 23:48
TG039_39041_67728_01241_039_20251218093909_91.13.BIN,22.63,18/12/2025 09:39
TG039_39041_67728_01242_039_20251218185253_91.13.BIN,20.21,18/12/2025 18:54
TG039_39064_66960_00991_039_20251218135720_91.13.BIN,31.98,18/12/2025 21:24
TG039_39064_66960_00992_039_20251218211041_91.13.BIN,32.04,18/12/2025 21:24
TG039_39066_67606_01017_039_20251218131044_91.13.BIN,36.31,18/12/2025 20:41
TG039_39066_67606_01018_039_20251218202306_91.13.BIN,30.49,18/12/2025 20:41
TG039_39070_67623_01475_039_20251218110430_91.13.BIN,32.38,18/12/2025 20:25
TG039_39070_67623_01476_039_20251218202448_91.13.BIN,43.18,18/12/2025 20:25
TG039_39074_66815_01630_039_20251218061909_91.13.BIN,8.51,18/12/2025 23:12
TG039_39074_66815_01631_039_20251218155612_91.13.BIN,42.39,18/12/2025 23:12
TG039_39074_66815_01632_039_20251218230816_91.13.BIN,29.05,18/12/2025 23:12
TG039_39075_67410_01666_039_20251218122509_91.13.BIN,41.30,18/12/2025 19:47
TG039_39075_67410_01667_039_20251218194755_91.13.BIN,39.83,18/12/2025 19:47
TG039_39084_67230_01420_039_20251218213523_91.13.BIN,77.14,18/12/2025 21:39
TG039_39096_67518_01285_039_20251218095359_91.13.BIN,23.03,18/12/2025 19:19
TG039_39096_67518_01286_039_20251218191913_91.13.BIN,28.67,18/12/2025 19:19
TG039_39098_67417_01025_039_20251218205632_91.13.BIN,25.65,18/12/2025 20:56
TG039_39105_67701_00984_039_20251218061425_91.13.BIN,3.39,18/12/2025 21:57
TG039_39105_67701_00985_039_20251218143343_91.13.BIN,37.92,18/12/2025 21:57
TG039_39105_67701_00986_039_20251218215721_91.13.BIN,31.42,18/12/2025 21:57
TG039_39119_67716_01095_039_20251218101037_91.13.BIN,24.77,18/12/2025 10:11
TG039_39119_67716_01096_039_20251218184442_91.13.BIN,19.93,18/12/2025 18:45
TG039_39126_68299_00749_039_20251218131206_91.13.BIN,38.52,18/12/2025 20:26
TG039_39126_68299_00750_039_20251218202525_91.13.BIN,22.42,18/12/2025 20:26
TG039_39130_67894_01386_039_20251218202928_91.13.BIN,19.19,18/12/2025 20:51
TG039_39135_66580_01409_039_20251218110020_91.13.BIN,21.83,18/12/2025 11:00
TG039_39135_66580_01410_039_20251218191937_91.13.BIN,24.45,18/12/2025 19:19
TG039_39140_67429_01251_039_20251218194216_91.13.BIN,57.87,18/12/2025 19:43
TG039_39141_66714_01724_039_20251218125303_91.13.BIN,38.45,18/12/2025 21:02
TG039_39141_66714_01725_039_20251218205941_91.13.BIN,38.59,18/12/2025 21:02
TG039_39142_67702_01482_039_20251218094213_91.13.BIN,18.13,18/12/2025 09:43
TG039_39142_67702_01483_039_20251218183005_91.13.BIN,21.09,18/12/2025 18:30
TG039_39502_66550_02250_039_20251218095643_91.13.BIN,28.69,18/12/2025 14:43
TG039_39502_66550_02251_039_20251218192323_91.13.BIN,30.96,18/12/2025 19:24
TG039_39508_66868_01049_039_20251218125321_91.13.BIN,4.71,18/12/2025 20:44
TG039_39508_66868_01050_039_20251218202741_91.13.BIN,43.41,18/12/2025 20:44
TG039_39508_66868_01051_039_20251218203018_91.13.BIN,1.86,18/12/2025 20:44
TG039_39509_66193_01707_039_20251218124443_91.13.BIN,32.78,18/12/2025 22:31
TG039_39509_66193_01708_039_20251218223111_91.13.BIN,21.71,18/12/2025 22:31
TG039_39516_66747_00569_039_20251218150754_91.13.BIN,62.58,19/12/2025 00:20
TG039_39518_67819_01416_039_20251218133140_91.13.BIN,28.01,18/12/2025 22:57
TG039_39518_67819_01417_039_20251218225606_91.13.BIN,32.25,18/12/2025 22:57
TG039_39531_67442_01291_039_20251218094531_91.13.BIN,25.38,18/12/2025 09:46
TG039_39531_67442_01292_039_20251218194706_91.13.BIN,22.98,18/12/2025 19:46
TG039_39532_67577_01284_039_20251218121332_91.13.BIN,33.01,18/12/2025 12:13
TG039_39532_67577_01285_039_20251218193438_91.13.BIN,27.95,18/12/2025 19:35
TG039_39534_66943_01394_039_20251218192557_91.13.BIN,57.61,18/12/2025 19:25
TG039_39535_66204_01434_039_20251218122855_91.13.BIN,40.92,18/12/2025 22:42
TG039_39535_66204_01435_039_20251218223913_91.13.BIN,39.44,18/12/2025 22:42
TG039_39536_66234_01249_039_20251218095624_91.13.BIN,21.79,18/12/2025 09:57
TG039_39536_66234_01250_039_20251218190045_91.13.BIN,18.18,18/12/2025 19:01
TG039_39539_67466_01072_039_20251218115951_91.13.BIN,42.31,18/12/2025 22:23
TG039_39539_67466_01073_039_20251218222331_91.13.BIN,34.77,18/12/2025 22:23
TG039_39540_68261_00838_039_20251218052050_91.13.BIN,2.98,18/12/2025 05:20
TG039_39541_67956_01385_039_20251218113339_91.13.BIN,34.64,18/12/2025 21:45
TG039_39541_67956_01386_039_20251218214512_91.13.BIN,37.52,18/12/2025 21:45
TG039_39542_66581_01326_039_20251218201119_91.13.BIN,86.71,18/12/2025 20:12
